month,date,time,home_team,away_team
March 2026,Friday 20th March,19:45,Bath Rugby,Saracens
March 2026,Saturday 21st March,15:00,Harlequins,Gloucester Rugby
March 2026,Saturday 21st March,15:00,Northampton Saints,Newcastle Red Bulls
March 2026,Saturday 21st March,15:05,Exeter Chiefs,Sale Sharks
March 2026,Sunday 22nd March,15:00,Leicester Tigers,Bristol Bears
March 2026,Friday 27th March,19:45,Newcastle Red Bulls,Exeter Chiefs
March 2026,Saturday 28th March,13:00,Gloucester Rugby,Leicester Tigers
March 2026,Saturday 28th March,15:30,Bristol Bears,Harlequins
March 2026,Saturday 28th March,18:00,Saracens,Northampton Saints
March 2026,Sunday 29th March,15:00,Sale Sharks,Bath Rugby
April 2026,Friday 17th April,19:45,Bristol Bears,Gloucester Rugby
April 2026,Saturday 18th April,15:00,Leicester Tigers,Newcastle Red Bulls
April 2026,Saturday 18th April,15:05,Exeter Chiefs,Northampton Saints
April 2026,Saturday 18th April,17:30,Bath Rugby,Harlequins
April 2026,Sunday 19th April,15:00,Sale Sharks,Saracens
April 2026,Friday 24th April,19:45,Newcastle Red Bulls,Bristol Bears
April 2026,Saturday 25th April,15:00,Harlequins,Sale Sharks
April 2026,Saturday 25th April,15:05,Saracens,Leicester Tigers
April 2026,Saturday 25th April,17:30,Northampton Saints,Bath Rugby
April 2026,Sunday 26th April,15:00,Gloucester Rugby,Exeter Chiefs
May 2026,Friday 8th May,19:45,Gloucester Rugby,Sale Sharks
May 2026,Saturday 9th May,15:05,Leicester Tigers,Northampton Saints
May 2026,Saturday 9th May,17:30,Bristol Bears,Saracens
May 2026,Sunday 10th May,15:00,Exeter Chiefs,Bath Rugby
May 2026,Sunday 10th May,15:00,Newcastle Red Bulls,Harlequins
May 2026,Friday 15th May,19:45,Northampton Saints,Bristol Bears
May 2026,Saturday 16th May,15:00,Bath Rugby,Newcastle Red Bulls
May 2026,Saturday 16th May,16:00,Harlequins,Exeter Chiefs
May 2026,Saturday 16th May,18:30,Saracens,Gloucester Rugby
May 2026,Sunday 17th May,15:00,Sale Sharks,Leicester Tigers
May 2026,Friday 29th May,19:45,Bristol Bears,Bath Rugby
May 2026,Saturday 30th May,13:00,Saracens,Harlequins
May 2026,Saturday 30th May,15:00,Northampton Saints,Gloucester Rugby
May 2026,Saturday 30th May,19:45,Newcastle Red Bulls,Sale Sharks
May 2026,Sunday 31st May,15:30,Leicester Tigers,Exeter Chiefs
June 2026,Saturday 6th June,15:00,Bath Rugby,Leicester Tigers
June 2026,Saturday 6th June,15:00,Exeter Chiefs,Saracens
June 2026,Saturday 6th June,15:00,Gloucester Rugby,Newcastle Red Bulls
June 2026,Saturday 6th June,15:00,Harlequins,Northampton Saints
June 2026,Saturday 6th June,15:00,Sale Sharks,Bristol Bears
