season,player,player_full,position,appearances
2020/2021,Marc-André ter Stegen,Marc-André ter Stegen,Goalkeeper,29
2020/2021,Clément Lenglet,Clément Lenglet,Left Center Back,27
2020/2021,Óscar Mingueza,Óscar Mingueza García,Right Center Back,14
2020/2021,Jordi Alba,Jordi Alba Ramos,Left Back,19
2020/2021,Ronald Araújo,Ronald Federico Araújo da Silva,Right Center Back,11
2020/2021,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,9
2020/2021,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,12
2020/2021,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,16
2020/2021,Pedri,Pedro González López,Left Center Midfield,13
2020/2021,Frenkie de Jong,Frenkie de Jong,Right Center Midfield,13
2020/2021,Sergiño Dest,Sergino Dest,Right Back,10
2019/2020,Marc-André ter Stegen,Marc-André ter Stegen,Goalkeeper,31
2019/2020,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,27
2019/2020,Clément Lenglet,Clément Lenglet,Left Center Back,23
2019/2020,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,22
2019/2020,Jordi Alba,Jordi Alba Ramos,Left Back,19
2019/2020,Nélson Semedo,Nélson Cabral Semedo,Right Back,18
2019/2020,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,21
2019/2020,Luis Suárez,Luis Alberto Suárez Díaz,Center Forward,16
2019/2020,Sergi Roberto,Sergi Roberto Carnicer,Right Back,12
2019/2020,Junior Firpo,Héctor Junior Firpo Adames,Left Back,10
2019/2020,Arturo Vidal,Arturo Erasmo Vidal Pardo,Right Center Midfield,10
2018/2019,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,33
2018/2019,Marc-André ter Stegen,Marc-André ter Stegen,Goalkeeper,32
2018/2019,Jordi Alba,Jordi Alba Ramos,Left Back,29
2018/2019,Luis Suárez,Luis Alberto Suárez Díaz,Center Forward,26
2018/2019,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,25
2018/2019,Clément Lenglet,Clément Lenglet,Left Center Back,19
2018/2019,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,22
2018/2019,Nélson Semedo,Nélson Cabral Semedo,Right Back,19
2018/2019,Arthur,Arthur Henrique Ramos de Oliveira Melo,Left Center Midfield,16
2018/2019,Philippe Coutinho,Philippe Coutinho Correia,Left Wing,16
2018/2019,Arturo Vidal,Arturo Erasmo Vidal Pardo,Right Center Midfield,14
2017/2018,Marc-André ter Stegen,Marc-André ter Stegen,Goalkeeper,35
2017/2018,Jordi Alba,Jordi Alba Ramos,Left Back,28
2017/2018,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,28
2017/2018,Samuel Umtiti,Samuel Yves Umtiti,Left Center Back,21
2017/2018,Sergi Roberto,Sergi Roberto Carnicer,Right Back,20
2017/2018,Nélson Semedo,Nélson Cabral Semedo,Right Back,16
2017/2018,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Center Forward,23
2017/2018,Luis Suárez,Luis Alberto Suárez Díaz,Left Center Forward,22
2017/2018,Thomas Vermaelen,Thomas Vermaelen,Left Center Back,11
2017/2018,Andrés Iniesta,Andrés Iniesta Luján,Left Midfield,14
2017/2018,Lucas Digne,Lucas Digne,Left Back,7
2016/2017,Marc-André ter Stegen,Marc-André ter Stegen,Goalkeeper,31
2016/2017,Luis Suárez,Luis Alberto Suárez Díaz,Center Forward,28
2016/2017,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,27
2016/2017,Neymar,Neymar da Silva Santos Junior,Left Wing,25
2016/2017,Ivan Rakitić,Ivan Rakitić,Right Center Midfield,20
2016/2017,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,23
2016/2017,Samuel Umtiti,Samuel Yves Umtiti,Left Center Back,17
2016/2017,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,15
2016/2017,Sergi Roberto,Sergi Roberto Carnicer,Right Back,18
2016/2017,Javier Mascherano,Javier Alejandro Mascherano,Right Center Back,12
2016/2017,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,12
2015/2016,Neymar,Neymar da Silva Santos Junior,Left Wing,33
2015/2016,Luis Suárez,Luis Alberto Suárez Díaz,Center Forward,33
2015/2016,Claudio Bravo,Claudio Andrés Bravo Muñoz,Goalkeeper,31
2015/2016,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,30
2015/2016,Jordi Alba,Jordi Alba Ramos,Left Back,29
2015/2016,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,29
2015/2016,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,28
2015/2016,Ivan Rakitić,Ivan Rakitić,Right Center Midfield,25
2015/2016,Dani Alves,Daniel Alves da Silva,Right Back,23
2015/2016,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,23
2015/2016,Javier Mascherano,Javier Alejandro Mascherano,Left Center Back,22
2014/2015,Claudio Bravo,Claudio Andrés Bravo Muñoz,Goalkeeper,37
2014/2015,Neymar,Neymar da Silva Santos Junior,Left Wing,29
2014/2015,Dani Alves,Daniel Alves da Silva,Right Back,29
2014/2015,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,27
2014/2015,Jordi Alba,Jordi Alba Ramos,Left Back,27
2014/2015,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,26
2014/2015,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,24
2014/2015,Luis Suárez,Luis Alberto Suárez Díaz,Center Forward,23
2014/2015,Jérémy Mathieu,Jérémy Mathieu,Left Center Back,20
2014/2015,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,18
2014/2015,Ivan Rakitić,Ivan Rakitić,Right Center Midfield,17
2013/2014,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,28
2013/2014,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,25
2013/2014,Dani Alves,Daniel Alves da Silva,Right Back,24
2013/2014,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,23
2013/2014,Javier Mascherano,Javier Alejandro Mascherano,Left Center Back,22
2013/2014,Adriano,Adriano Correia Claro,Left Back,19
2013/2014,Xavi,Xavier Hernández Creus,Right Center Midfield,18
2013/2014,Alexis Sánchez,Alexis Alejandro Sánchez Sánchez,Right Wing,18
2013/2014,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,15
2013/2014,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,15
2013/2014,Neymar,Neymar da Silva Santos Junior,Left Wing,14
2012/2013,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,27
2012/2013,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,26
2012/2013,Jordi Alba,Jordi Alba Ramos,Left Back,24
2012/2013,Dani Alves,Daniel Alves da Silva,Right Back,21
2012/2013,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,20
2012/2013,Xavi,Xavier Hernández Creus,Right Center Midfield,18
2012/2013,Pedro,Pedro Eliezer Rodríguez Ledesma,Right Wing,18
2012/2013,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,17
2012/2013,Cesc Fàbregas,Francesc Fàbregas i Soler,Left Center Midfield,17
2012/2013,Javier Mascherano,Javier Alejandro Mascherano,Left Center Back,12
2012/2013,David Villa,David Villa Sánchez,Left Wing,10
2011/2012,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,34
2011/2012,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,30
2011/2012,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,20
2011/2012,Dani Alves,Daniel Alves da Silva,Right Back,22
2011/2012,Javier Mascherano,Javier Alejandro Mascherano,Right Center Back,13
2011/2012,Carles Puyol,Carles Puyol i Saforcada,Right Center Back,12
2011/2012,Xavi,Xavier Hernández Creus,Right Center Midfield,11
2011/2012,Thiago Alcântara,Thiago Alcântara do Nascimento,Left Center Midfield,10
2011/2012,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,9
2011/2012,Éric Abidal,Eric-Sylvain Bilal Abidal,Left Center Back,8
2011/2012,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,8
2010/2011,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,28
2010/2011,Dani Alves,Daniel Alves da Silva,Right Back,26
2010/2011,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,22
2010/2011,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,20
2010/2011,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,18
2010/2011,Xavi,Xavier Hernández Creus,Right Center Midfield,18
2010/2011,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,16
2010/2011,Maxwell,Maxwell Scherrer Cabelino Andrade,Left Back,16
2010/2011,Pedro,Pedro Eliezer Rodríguez Ledesma,Right Wing,16
2010/2011,David Villa,David Villa Sánchez,Left Wing,16
2010/2011,Javier Mascherano,Javier Alejandro Mascherano,Center Defensive Midfield,13
2009/2010,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,35
2009/2010,Dani Alves,Daniel Alves da Silva,Right Back,24
2009/2010,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,22
2009/2010,Maxwell,Maxwell Scherrer Cabelino Andrade,Left Back,20
2009/2010,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,21
2009/2010,Zlatan Ibrahimović,Zlatan Ibrahimović,Center Forward,20
2009/2010,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,18
2009/2010,Xavi,Xavier Hernández Creus,Right Center Midfield,16
2009/2010,Éric Abidal,Eric-Sylvain Bilal Abidal,Left Back,14
2009/2010,Seydou Kéita,Seydou Kéita,Left Center Midfield,11
2009/2010,Yaya Touré,Gnégnéri Yaya Touré,Center Defensive Midfield,11
2008/2009,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,31
2008/2009,Dani Alves,Daniel Alves da Silva,Right Back,28
2008/2009,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,27
2008/2009,Samuel Eto'o,Samuel Eto''o Fils,Center Forward,26
2008/2009,Éric Abidal,Eric-Sylvain Bilal Abidal,Left Back,20
2008/2009,Xavi,Xavier Hernández Creus,Right Center Midfield,18
2008/2009,Yaya Touré,Gnégnéri Yaya Touré,Center Defensive Midfield,18
2008/2009,Thierry Henry,Thierry Henry,Left Wing,18
2008/2009,Rafael Márquez,Rafael Márquez Álvarez,Right Center Back,17
2008/2009,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,13
2008/2009,Carles Puyol,Carles Puyol i Saforcada,Left Center Back,12
2007/2008,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,25
2007/2008,Éric Abidal,Eric-Sylvain Bilal Abidal,Left Back,22
2007/2008,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,20
2007/2008,Gabriel Milito,Gabriel Alejandro Milito,Left Center Back,19
2007/2008,Gianluca Zambrotta,Gianluca Zambrotta,Right Back,17
2007/2008,Yaya Touré,Gnégnéri Yaya Touré,Center Defensive Midfield,16
2007/2008,Xavi,Xavier Hernández Creus,Right Center Midfield,12
2007/2008,Thierry Henry,Thierry Henry,Center Forward,12
2007/2008,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,11
2007/2008,Deco,Anderson Luís de Souza,Left Center Midfield,10
2007/2008,Lilian Thuram,Lilian Thuram,Right Center Back,10
2006/2007,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,26
2006/2007,Ronaldinho,Ronaldo de Assis Moreira,Left Wing,21
2006/2007,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,19
2006/2007,Carles Puyol,Carles Puyol i Saforcada,Left Center Back,17
2006/2007,Samuel Eto'o,Samuel Eto''o Fils,Center Forward,16
2006/2007,Gianluca Zambrotta,Gianluca Zambrotta,Right Back,18
2006/2007,Deco,Anderson Luís de Souza,Left Center Midfield,15
2006/2007,Lilian Thuram,Lilian Thuram,Right Center Back,14
2006/2007,Giovanni van Bronckhorst,Giovanni van Bronckhorst,Left Back,14
2006/2007,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,12
2006/2007,Edmilson,José Edmílson Gomes de Moraes,Center Defensive Midfield,12
2005/2006,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,17
2005/2006,Ronaldinho,Ronaldo de Assis Moreira,Left Wing,15
2005/2006,Samuel Eto'o,Samuel Eto''o Fils,Center Forward,13
2005/2006,Carles Puyol,Carles Puyol i Saforcada,Right Center Back,13
2005/2006,Edmilson,José Edmílson Gomes de Moraes,Center Defensive Midfield,13
2005/2006,Sylvinho,Sylvio Mendes Campos Junior,Left Back,12
2005/2006,Deco,Anderson Luís de Souza,Left Center Midfield,11
2005/2006,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,10
2005/2006,Oleguer,Oleguer Presas Renom,Right Back,10
2005/2006,Rafael Márquez,Rafael Márquez Álvarez,Left Center Back,8
2005/2006,Juliano Belletti,Juliano Haus Belletti,Right Back,7
2004/2005,Giovanni van Bronckhorst,Giovanni van Bronckhorst,Left Back,7
2004/2005,Ronaldinho,Ronaldo de Assis Moreira,Left Wing,7
2004/2005,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,6
2004/2005,Samuel Eto'o,Samuel Eto''o Fils,Center Forward,5
2004/2005,Juliano Belletti,Juliano Haus Belletti,Right Back,5
2004/2005,Rafael Márquez,Rafael Márquez Álvarez,Center Defensive Midfield,5
2004/2005,Deco,Anderson Luís de Souza,Left Center Midfield,4
2004/2005,Carles Puyol,Carles Puyol i Saforcada,Left Center Back,4
2004/2005,Oleguer,Oleguer Presas Renom,Right Center Back,4
2004/2005,Ludovic Giuly,Ludovic Giuly,Right Wing,3
2004/2005,Damià,Damià Abella Pérez,Right Back,2
1973/1974,Johan Cruyff,Johan Cruyff,Center Forward,1
1973/1974,Pere Valentí Mora,Pere Valentí Mora Mariné,Goalkeeper,1
1973/1974,Antonio Torres,Antonio Torres García,Right Center Back,1
1973/1974,Toño de la Cruz,Jesus Antonio de la Cruz Gallego,Left Back,1
1973/1974,Joaquim Rifé,Joaquim Rifé Climent,Right Back,1
1973/1974,Juan Carlos,Juan Carlos Pérez López,Center Defensive Midfield,1
1973/1974,Marcial Pina,Marcial Manuel Pina Morales,Left Center Midfield,1
1973/1974,Quique Costas,Enrique Álvarez Costas,Left Center Back,1
1973/1974,Juan Manuel Asensi,Juan Manuel Asensi Ripoll,Right Center Midfield,1
1973/1974,Carles Rexach,Carles Rexach i Cerdà,Right Wing,1
1973/1974,Hugo Sotil,Hugo Alejandro Sotil Yerén,Left Wing,1
